order_date,city,Weather_Type,nonAB_rev,AB_rev,AB_qty,nonAB_qty
12/1/22,Washington,Moderately Cold,28.20142342,35.39071605,2.486568452,2.91415403
12/1/22,Austin,Moderately Hot,19.11683529,26.44166211,1.729745596,1.965320362
12/1/22,Houston,Moderately Hot,22.75221401,28.80471674,2.141387221,2.200523801
12/1/22,New York City,Moderately Cold,20.79302887,33.63664186,2.310560617,2.002848292
12/1/22,Miami,Moderately Hot,18.46216945,20.96951497,1.617228577,1.592376552
12/1/22,Atlanta,Moderately Cold,15.83773131,23.83359565,1.693516492,1.624052772
12/1/22,Sacramento,Moderately Cold,19.28075222,22.29302006,1.660622975,1.789625725
12/1/22,Phoenix,Moderately Hot,18.12443421,24.69736039,1.706559738,1.803919197
12/2/22,New York City,Rainy,20.82742239,33.89546983,2.330508867,1.99578465
12/2/22,Miami,Moderately Hot,18.45588516,20.96562774,1.616860787,1.591995509
12/2/22,Washington,Moderately Cold,28.19513912,35.38682881,2.486200662,2.913772987
12/2/22,Sacramento,Moderately Cold,19.27446792,22.28913282,1.660255185,1.789244682
12/2/22,Atlanta,Moderately Cold,15.83144701,23.82970842,1.693148702,1.623671729
12/2/22,Austin,Moderately Hot,19.11055099,26.43777487,1.729377806,1.964939319
12/2/22,Houston,Moderately Hot,22.74592971,28.8008295,2.141019431,2.200142759
12/3/22,Houston,Moderately Hot,22.73964542,28.79694227,2.140651641,2.199761716
12/3/22,Austin,Moderately Hot,19.1042667,26.43388764,1.729010016,1.964558277
12/3/22,Washington,Moderately Cold,28.18885483,35.38294158,2.485832872,2.913391944
12/3/22,New York City,Moderately Cold,20.78046028,33.62886739,2.309825037,2.002086207
12/3/22,Charlotte,Moderately Cold,15.8698622,24.34245385,1.801796798,1.551963703
12/3/22,Sacramento,Moderately Cold,19.26818363,22.28524559,1.659887395,1.78886364
12/4/22,Austin,Moderately Hot,19.0979824,26.4300004,1.728642226,1.964177234
12/4/22,Houston,Moderately Hot,22.73336112,28.79305503,2.140283851,2.199380673
12/4/22,New York City,Moderately Cold,20.77417598,33.62498016,2.309457247,2.001705164
12/4/22,Sacramento,Moderately Cold,19.26189933,22.28135835,1.659519605,1.788482597
12/4/22,Houston,Rainy,22.57456299,28.99120222,2.164015973,2.174517571
12/4/22,Washington,Moderately Cold,28.18257053,35.37905434,2.485465082,2.913010902
12/4/22,Charlotte,Moderately Cold,15.86357791,24.33856662,1.801429008,1.55158266
12/5/22,Sacramento,Moderately Cold,19.25561503,22.27747112,1.659151814,1.788101555
12/5/22,Washington,Moderately Cold,28.17628623,35.37516711,2.485097292,2.912629859
12/5/22,Miami,Moderately Hot,18.43703227,20.95396603,1.615757416,1.590852381
12/5/22,Tulsa,Rainy,15.47934856,23.1685398,1.685884902,1.712752088
12/5/22,New York City,Moderately Cold,20.76789169,33.62109292,2.309089457,2.001324121
12/5/22,Charlotte,Moderately Cold,15.85729361,24.33467938,1.801061217,1.551201618
12/5/22,Austin,Moderately Hot,19.0916981,26.42611317,1.728274435,1.963796191
12/5/22,Houston,Moderately Hot,22.72707682,28.7891678,2.139916061,2.198999631
12/6/22,Miami,Rainy,18.27194984,21.14822598,1.639121749,1.565608236
12/6/22,Tulsa,Outliers,16.24020009,22.28868094,1.624502342,1.759034027
12/6/22,Washington,Moderately Cold,28.17000194,35.37127987,2.484729502,2.912248817
12/6/22,Charlotte,Moderately Hot,16.05048527,24.39536016,1.797277345,1.569001078
12/6/22,Houston,Moderately Hot,22.72079253,28.78528056,2.13954827,2.198618588
12/6/22,Phoenix,Moderately Hot,18.09301273,24.67792421,1.704720787,1.802013984
12/6/22,Austin,Moderately Cold,18.88593786,26.35765791,1.731322728,1.945234646
12/6/22,Atlanta,Rainy,15.84698765,24.07687468,1.711993581,1.61546496
12/6/22,Sacramento,Outliers,20.05714439,21.66032745,1.618085294,1.827700894
12/7/22,Miami,Moderately Hot,18.42446368,20.94619156,1.615021836,1.590090296
12/7/22,Houston,Moderately Hot,22.71450823,28.78139333,2.13918048,2.198237546
12/7/22,New York City,Super Cold,20.94744752,33.59502716,2.28624342,2.028805845
12/7/22,Sacramento,Moderately Cold,19.24304644,22.26969665,1.658416234,1.787339469
12/7/22,Austin,Moderately Cold,18.87965356,26.35377068,1.730954938,1.944853603
12/7/22,Washington,Moderately Cold,28.16371764,35.36739264,2.484361712,2.911867774
12/7/22,New York City,Moderately Cold,20.75532309,33.61331845,2.308353877,2.000562036
12/8/22,Houston,Moderately Hot,22.70822394,28.77750609,2.13881269,2.197856503
12/8/22,Washington,Moderately Cold,28.15743335,35.3635054,2.483993921,2.911486731
12/8/22,Charlotte,Rainy,15.87911854,24.58573287,1.820273887,1.543375891
12/8/22,Miami,Moderately Hot,18.41817938,20.94230433,1.614654046,1.589709253
12/8/22,Phoenix,Moderately Hot,18.08044413,24.67014974,1.703985207,1.801251899
12/8/22,Sacramento,Moderately Cold,19.23676215,22.26580941,1.658048444,1.786958427
12/8/22,Atlanta,Rainy,15.83441906,24.06910021,1.711258001,1.614702874
12/9/22,Phoenix,Rainy,17.9153617,24.86440969,1.72734954,1.776007754
12/9/22,Sacramento,Rainy,19.27115567,22.52463737,1.677996694,1.779894785
12/9/22,Washington,Moderately Cold,28.15114905,35.35961817,2.483626131,2.911105689
12/9/22,New York City,Super Cold,20.93487892,33.58725269,2.28550784,2.02804376
12/9/22,Houston,Moderately Hot,22.70193964,28.77361886,2.1384449,2.19747546
12/9/22,Miami,Moderately Hot,18.41189508,20.93841709,1.614286256,1.589328211
