"","rfm_group","name","value"
"1","At risk of losing","Recency Mean",280
"2","At risk of losing","Frequency Mean",2
"3","At risk of losing","Monetary Value Mean",40
"4","Champions","Recency Mean",6
"5","Champions","Frequency Mean",40
"6","Champions","Monetary Value Mean",779
"7","Lost","Recency Mean",665
"8","Lost","Frequency Mean",1
"9","Lost","Monetary Value Mean",15
"10","Loyal Customers","Recency Mean",16
"11","Loyal Customers","Frequency Mean",23
"12","Loyal Customers","Monetary Value Mean",420
"13","Potential Loyalist","Recency Mean",13
"14","Potential Loyalist","Frequency Mean",4
"15","Potential Loyalist","Monetary Value Mean",55
